Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.329191228707018	0.0217273158981429	0.0187927107061503
mcuentas_saldo_min3	0.148088481532952	0.0110097233614987	0.0130979498861048
cpayroll_trx	0.0457099551492164	0.0109774821612157	0.00341685649202734
ctarjeta_visa	0.0408614685279618	0.00185787364518246	0.000569476082004556
cproductos_ratioavg3	0.0333996203758224	0.0130622458887224	0.005125284738041
mcaja_ahorro	0.0309733460815908	0.0110022954991815	0.00797266514806378
foto_mes	0.0206942009725859	0.0352311851464858	0.035876993166287
Visa_status	0.0199071376292297	0.00202682445696624	0.000569476082004556
cdescubierto_preacordado	0.0142243875559861	0.0143762094545639	0.00683371298405467
Visa_mpagospesos	0.0128497664064736	0.0025215356430222	0.00341685649202734
cdescubierto_preacordado_tend3	0.0124199113868673	0.00202682445696624	0.000569476082004556
ctrx_quarter	0.0120074433002761	0.00494398904723979	0.00341685649202734
mcuenta_corriente	0.0111418605664921	0.0143103523161293	0.0136674259681093
mcuentas_saldo	0.0100547172993386	0.0113102873378897	0.0136674259681093
Visa_Finiciomora	0.00966262217455464	0.00993446056795912	0.00341685649202734
mactivos_margen_min3	0.00854408456412105	0.00522714226991673	0.00683371298405467
Visa_msaldototal	0.00828041437589818	0.00486990098179248	0.00398633257403189
mcuentas_saldo_avg3	0.00635848491036059	0.000741942333223116	0.00227790432801822
cproductos	0.00554953067001297	0.00793774617590946	0.00455580865603645
mtarjeta_visa_consumo	0.00552474509081017	0.00147690014250821	0.00227790432801822
mrentabilidad_annual_max3	0.00527083316890691	0.00444306334600958	0.00569476082004556
Visa_msaldopesos	0.00526879679951498	0.00581090419171596	0.00854214123006834
ctrx_quarter_tend3	0.00482916360185826	0.00244933176568623	0.00227790432801822
mactivos_margen	0.00473924611423977	0.0129607155664997	0.0125284738041002
ccaja_ahorro	0.00458256977862397	0.0101504305259972	0.00398633257403189
mactivos_margen_avg3	0.0045422066000285	0.00445739600913519	0.00797266514806378
mcuentas_saldo_tend3	0.00451465214388829	0.00617539834016561	0.00569476082004556
Visa_mpagominimo	0.00432025480074498	0.012747847032649	0.0130979498861048
cdescubierto_preacordado_eficiencia3	0.00420155249311352	0.00544038997474957	0.00227790432801822
ctarjeta_visa_transacciones_ratioavg3	0.00414663013184191	0.0106253917650491	0.0108200455580866
ccomisiones_mantenimiento_tend3	0.0040366713198511	0.00489101205539915	0.00227790432801822
ctrx_quarter_normalizado_ratioavg3	0.00359883302688587	0.00124472888896577	0.00227790432801822
mpayroll_sobre_edad	0.0034387958708332	0.00524834862238559	0.00284738041002278
ccomisiones_mantenimiento_ratioavg3	0.00276343605333948	0.00593809758379786	0.00284738041002278
internet_max3	0.00275738593983044	0.00600714753634889	0.00284738041002278
mcuentas_saldo_ratioavg3	0.00257130488828633	0.0125008472770043	0.0113895216400911
ctrx_quarter_ratioavg3	0.00252658916864681	0.00450956993628028	0.00398633257403189
mactivos_margen_max3	0.00249876871344946	0.00473026494809603	0.00569476082004556
ccomisiones_mantenimiento_eficiencia3	0.00242369936385767	0.00477728409435033	0.00569476082004556
ccaja_seguridad	0.00232043153692124	0.00882649184662512	0.00284738041002278
mtarjeta_master_consumo	0.00219547426899978	0.00517849171620586	0.00455580865603645
Visa_mpagominimo_avg3	0.00211445028125347	0.00677047122403263	0.00626423690205011
internet_avg3	0.00208599172258898	0.00383848785398968	0.00341685649202734
mcuenta_corriente_min3	0.00196775908765676	0.00482171515559308	0.00683371298405467
Visa_delinquency_max3	0.00195741706242407	0.00240834824368127	0.00113895216400911
mttarjeta_visa_debitos_automaticos_ratioavg3	0.0019392750293653	0.00432188613351126	0.00341685649202734
mcuenta_corriente_tend3	0.0019337613118518	0.00429792641637196	0.00341685649202734
Visa_mpagominimo_max3	0.00189018403228237	0.00355943940025293	0.005125284738041
thomebanking	0.00188559157064694	0.00181980293410712	0.00170842824601367
mrentabilidad_annual_avg3	0.00174811054003651	0.00523922518521487	0.005125284738041
internet	0.00174737953415728	0.00277102820481629	0.00341685649202734
mcaja_ahorro_dolares_ratioavg3	0.00173036657950225	0.00454276586965166	0.00341685649202734
Visa_fechaalta	0.00171680189036209	0.00288650229684961	0.00455580865603645
mpagomiscuentas	0.00164327094388792	0.005243819959732	0.00284738041002278
kmes_eficiencia3	0.00156646503267353	0.00664866594883053	0.00683371298405467
mcaja_ahorro_ratioavg3	0.00153103134540358	0.00611674156145889	0.00740318906605923
cliente_edad	0.00148808135892111	0.00946325992726361	0.00968109339407745
mcuenta_debitos_automaticos	0.00145611326514158	0.00797662189614693	0.00398633257403189
mcaja_ahorro_max3	0.00139988986426681	0.00644176887183222	0.00683371298405467
cproductos_tend3	0.00138757215312768	0.00440760016461154	0.00284738041002278
internet_ratioavg3	0.00133735009536071	0.000472258430512409	0.00113895216400911
ccallcenter_transacciones_tend3	0.00130922839984889	0.00245919021122237	0.00113895216400911
cliente_edad_min3	0.00129358214500253	0.00169973212309008	0.005125284738041
mpayroll_ratioavg3	0.00126272954227556	0.00285820058584795	0.00227790432801822
cdescubierto_preacordado_avg3	0.00125549423291286	0.00669574148461551	0.00398633257403189
mrentabilidad_annual	0.00122597300223478	0.00131608497887496	0.00398633257403189
mcomisiones_mantenimiento	0.00120625623341509	0.0037825533284882	0.00683371298405467
mcomisiones_mantenimiento_ratioavg3	0.00117413957370925	0.00179830296718541	0.00284738041002278
Visa_mpagominimo_min3	0.00113216202021426	0.00299263711592238	0.00626423690205011
mpasivos_margen_max3	0.00110842078582501	0.00523034675083262	0.00683371298405467
Visa_delinquency_eficiencia3	0.00110531054275724	0.00638615712778222	0.00227790432801822
Visa_msaldopesos_ratioavg3	0.00109876104012997	0.00383074304362076	0.00341685649202734
mactivos_margen_eficiencia3	0.00104897807523568	0.00250833077051018	0.00569476082004556
Visa_mfinanciacion_limite	0.00102805737025249	0.000610661672400195	0.00170842824601367
Visa_cconsumos_ratioavg3	0.00102536048174027	0.00150825272156632	0.00341685649202734
cproductos_max3	0.00101319353284065	0.00769307005782208	0.00569476082004556
mtransferencias_emitidas_eficiencia3	0.000995184837640105	0.00360035486592776	0.00227790432801822
ccuenta_debitos_automaticos_ratioavg3	0.000992478582004599	0.00501006202146422	0.00398633257403189
mplazo_fijo_dolares_ratioavg3	0.000962752629953894	0.00330209313796171	0.00113895216400911
mpasivos_margen	0.00093512335809249	0.00145356265467296	0.00227790432801822
ctarjeta_debito_eficiencia3	0.000929682839432074	0.00764212308908593	0.00284738041002278
cliente_antiguedad	0.00089852882742792	0.00601434984054334	0.00683371298405467
mactivos_margen_ratioavg3	0.000895169861538766	0.00406290651929689	0.005125284738041
Visa_fechaalta_eficiencia3	0.000891975757989595	0.00330051812003581	0.005125284738041
mpayroll_sobre_edad_ratioavg3	0.000887653814557665	0.00264467676676144	0.00170842824601367
cpayroll_trx_ratioavg3	0.000885690859062282	0.0027308069137088	0.00170842824601367
mpayroll_eficiencia3	0.000882343617083795	0.00580834916263618	0.005125284738041
Visa_fultimo_cierre_avg3	0.000871958979292061	0.0019667521065928	0.00170842824601367
ctarjeta_master_transacciones_ratioavg3	0.000870879079548769	0.00298525203186986	0.00227790432801822
cproductos_avg3	0.000856655241786148	0.00343581799326962	0.00398633257403189
ctarjeta_visa_transacciones	0.000841464646243109	0.000759722535586514	0.00170842824601367
mrentabilidad	0.000836323668568778	0.00284317569262157	0.00683371298405467
mtransferencias_recibidas	0.00081871516641526	0.00241388608448737	0.00341685649202734
ctrx_quarter_min3	0.000792686587515426	0.00194043569596438	0.00113895216400911
Visa_Fvencimiento_eficiencia3	0.000756688875207671	0.00300930702787135	0.00341685649202734
ctrx_quarter_normalizado_eficiencia3	0.000739672428117517	0.00195224055254227	0.00284738041002278
mpayroll_sobre_edad_max3	0.000704802911403505	0.00576817842765964	0.00341685649202734
Visa_mpagospesos_tend3	0.00070399628677543	0.00496238758997409	0.00569476082004556
mcuenta_corriente_avg3	0.000691002046338497	0.00132227227151716	0.00341685649202734
mcomisiones_mantenimiento_eficiencia3	0.00067946026292951	0.00322910564059595	0.00341685649202734
internet_eficiencia3	0.000669669796681496	0.00343497798370915	0.00626423690205011
mactivos_margen_tend3	0.000668654243640492	0.00558105074233113	0.00626423690205011
Visa_delinquency_ratioavg3	0.000643431888334914	0.00634374636731109	0.00227790432801822
