Feature	Gain	Cover	Frequency
mcaja_ahorro_min3	0.02481053467651	0.003816774798987	0.00362679386487931
mcaja_ahorro_avg3	0.0247488921846807	0.00310656945216947	0.00399687487149965
cdescubierto_preacordado_ratioavg3	0.0225276898526163	0.00519681860286118	0.00185040503310169
ctrx_quarter_normalizado	0.0222229628135906	0.00186213644404459	0.00127472346724783
ctarjeta_visa	0.0190185433051316	0.00229937349662003	0.00121715531066244
ctrx_quarter_max3	0.0180600504917443	0.00211178615381404	0.00361856984250997
mcaja_ahorro	0.0154355289909503	0.00592894050358918	0.00384884246885152
mtarjeta_visa_consumo	0.015064006665554	0.00302293296766874	0.00268925531477446
mcuentas_saldo	0.0148852200383876	0.00946243304656576	0.00532916649533287
cpayroll_trx_ratioavg3	0.0139467525817778	0.00666392450702056	0.00196554134627246
ctrx_quarter_normalizado_max3	0.0138251201263709	0.00237479356510767	0.00324026481352029
mpayroll_sobre_edad	0.0129812820040308	0.00531796765503169	0.00180928492125499
ctrx_quarter	0.0115807261872817	0.00157027995328795	0.00134051564620256
mcaja_ahorro_ratioavg3	0.0112157311641936	0.00219654769696579	0.00146387598174267
mpayroll_min3	0.00975836202286044	0.00248643998556406	0.0017105966528229
ctrx_quarter_normalizado_min3	0.00973462900179423	0.00111288780587917	0.000986882684320901
mpayroll_sobre_edad_min3	0.009620410796159	0.00240719945757621	0.00129939553435585
mcuenta_corriente_avg3	0.00958316789331633	0.00335061461698329	0.0044491961018134
mcuentas_saldo_min3	0.00956688774798773	0.00333666576778952	0.00412023520703976
Visa_msaldopesos	0.00898872171108034	0.00534878478224305	0.00406266705045438
mpayroll	0.00898383827928793	0.00534691206935336	0.00184218101073235
Master_status_max3	0.00828721027348611	0.000864836698922678	0.000912866482996834
cproductos	0.00819782021613604	0.00817915788039235	0.00308400838850282
mcuentas_saldo_avg3	0.00818927467742219	0.002362731290814	0.00360212179777129
Visa_mfinanciacion_limite	0.00797057723111455	0.00234480493895697	0.00383239442411283
mpayroll_sobre_edad_avg3	0.00793167190234412	0.00233027325929987	0.00165302849623751
mpasivos_margen_avg3	0.00786957559269007	0.000556256363353641	0.000904642460627493
mcuenta_corriente	0.00758131080235978	0.00671043396660545	0.00473703688474033
ctarjeta_visa_avg3	0.00715403829549705	0.00100139744483025	0.000805954192195403
ctarjeta_visa_transacciones	0.0067557420260662	0.00185329203424394	0.000937538550104856
ctarjeta_debito_transacciones	0.00657402783814916	0.00105836377903915	0.00123360335540113
mpasivos_margen_max3	0.00655726104520528	0.00219206347074794	0.00329783297010568
Visa_mpagospesos_ratioavg3	0.0062346174595678	0.00190824175895191	0.00277971956083721
mpayroll_avg3	0.00619306755228632	0.0030726267546247	0.00226983017393807
Visa_delinquency_avg3	0.00616725380748803	0.00146035376360678	0.00134051564620256
ctarjeta_master_ratioavg3	0.00595140385688665	0.000660459152518989	0.000731937990871335
