Feature	Gain	Cover	Frequency
mcaja_ahorro	0.123246991265649	0.0174879687515176	0.0124332100287711
ctrx_quarter_normalizado	0.118366036691724	0.00919962055889175	0.00739827373612824
ctrx_quarter	0.109829526225579	0.00772849016065449	0.00852856555692561
mtarjeta_visa_consumo	0.0415749524527818	0.00954663062530248	0.00893958076448829
ctrx_quarter_normalizado_min3	0.0401851644833725	0.00199640606296296	0.00164406083025072
mcuentas_saldo	0.0314799316162706	0.0178230356246528	0.0142827784628031
Visa_status	0.0289744757818943	0.00424873639163019	0.00534319769831484
cpayroll_trx	0.0256413321661828	0.0115825865417852	0.0104808877928483
mpayroll_sobre_edad	0.0231202312610863	0.015476508958473	0.0135635018495684
mcuenta_corriente	0.0196923796903779	0.0191943376737649	0.0221948212083847
foto_mes	0.0188251043781881	0.0351147681657461	0.052609946568023
Visa_Finiciomora	0.01880843888139	0.0139380344218688	0.0135635018495684
cdescubierto_preacordado_ratioavg3	0.0177119136433942	0.00343845120192701	0.00637073571722154
ctarjeta_visa_transacciones	0.0169607430561682	0.00330669152299029	0.00482942868886149
cproductos_ratioavg3	0.0153140552344019	0.0127265451172142	0.0144882860665845
ctrx_quarter_min3	0.0152451371805684	0.000735395406606034	0.00143855322646938
mpayroll	0.0151489443197498	0.0111313231834782	0.0110974106041924
ctarjeta_visa	0.0120204160611256	0.00365526306027028	0.00380189066995479
mcaja_ahorro_max3	0.010274146438323	0.00108111363713707	0.00184956843403206
mcaja_ahorro_avg3	0.0100127936517529	0.000712735213167122	0.0020550760378134
cdescubierto_preacordado_tend3	0.00891948395223342	0.00528696893401863	0.00729551993423757
mcuentas_saldo_avg3	0.00869648631155118	6.43531713261954e-05	0.00030826140567201
cproductos	0.00867488314023407	0.0113320299937166	0.0106863953966297
cdescubierto_preacordado_eficiencia3	0.00831363885436909	0.00374674719714023	0.00811755034936293
mpasivos_margen_max3	0.00822404561820451	0.000428929655797986	0.00061652281134402
Visa_msaldototal	0.00817695718777615	0.00434205973202319	0.00667899712289355
cdescubierto_preacordado_min3	0.00741829268899674	0.000206342784537752	0.00143855322646938
Visa_mpagospesos	0.00610700318848655	0.00283932483948566	0.0030826140567201
cdescubierto_preacordado	0.0060621692487191	0.00150668862016719	0.00544595150020551
ctarjeta_visa_ratioavg3	0.00601898860931834	0.00155692894107816	0.00226058364159474
ctarjeta_visa_transacciones_ratioavg3	0.00598026271137729	0.00714755166893065	0.00904233456637896
mcuentas_saldo_min3	0.00569541773200433	0.000321281547394138	0.00123304562268804
ccomisiones_mantenimiento_ratioavg3	0.00561168333469141	0.0100659696684082	0.00986436498150432
internet_avg3	0.00544222616443009	0.0153841402810047	0.0150020550760378
ccomisiones_mantenimiento_tend3	0.0054039613701532	0.00642845393146355	0.00791204274558159
cproductos_tend3	0.0053848655467857	0.012585286705853	0.00965885737772298
mcaja_ahorro_min3	0.00502533591986341	0.00125076659424239	0.00184956843403206
mactivos_margen_avg3	0.00478623892332401	0.0134352089281844	0.0147965474722565
Visa_mpagominimo	0.00476530411827127	0.0107262613068327	0.0135635018495684
ctrx_quarter_ratioavg3	0.00416067606521919	0.00924876218182929	0.0082203041512536
ccaja_ahorro	0.00415201808211145	0.0203841135225317	0.0144882860665845
mactivos_margen	0.00372362187367995	0.0243108511204664	0.0219893136046034
mcuenta_corriente_tend3	0.00350597062808606	0.0134822442969702	0.0114056720098644
Master_status	0.00345587977440181	0.00323953294173757	0.00380189066995479
cpayroll_trx_ratioavg3	0.00333660670715659	0.0019838767366302	0.00277435265104809
Visa_delinquency	0.00309840839617104	0.00240486241153449	0.00380189066995479
Master_Finiciomora	0.00305260995439871	0.00728456983318134	0.00678175092478422
ccaja_seguridad	0.0030485810747832	0.0225219246162656	0.0146937936703658
mpayroll_sobre_edad_ratioavg3	0.00282194478140799	0.00211320918378869	0.00380189066995479
ctarjeta_master_ratioavg3	0.00278901646227328	0.000462675379267741	0.00030826140567201
internet_max3	0.00272955991025026	0.00687476530966201	0.00863131935881628
mcuentas_saldo_tend3	0.00261139659556644	0.0125653528408964	0.010275380189067
mpayroll_ratioavg3	0.00243359166782487	0.00229906487784173	0.00339087546239211
mpagomiscuentas	0.00235868771753274	0.0127575316046726	0.00750102753801891
mcuenta_corriente_max3	0.00235773577487096	0.000188690393403346	0.00133579942457871
Visa_msaldopesos	0.00229062111374806	0.00220285601233363	0.00452116728318948
mactivos_margen_min3	0.00227937432283528	0.00743318660925132	0.00863131935881628
ctarjeta_master_transacciones_ratioavg3	0.00212736058532433	0.00617931326859887	0.0041101520756268
mcaja_ahorro_dolares_ratioavg3	0.00211986658698227	0.00904746320835822	0.00852856555692561
ctarjeta_visa_eficiencia3	0.00210234874519099	0.000840329936041468	0.00123304562268804
ccaja_ahorro_tend3	0.00205395442897297	0.00428667601600465	0.00390464447184546
cpayroll_trx_min3	0.00199754485240913	0.00240052705994196	0.00267159884915742
mpayroll_tend3	0.0019577769118825	0.00779302923367636	0.00750102753801891
mpasivos_margen	0.00178549473638041	0.00483577345825848	0.00369913686806412
Visa_mpagominimo_avg3	0.00174418836387922	0.00412141630017652	0.00667899712289355
mtarjeta_master_consumo	0.00167704503339206	0.00530369939746669	0.00421290587751747
mtarjeta_visa_consumo_ratioavg3	0.00159595373122478	0.000381441162397081	0.00164406083025072
thomebanking_ratioavg3	0.00157627517904697	0.00584468022351721	0.00678175092478422
mttarjeta_visa_debitos_automaticos_ratioavg3	0.0015559574032226	0.00620885664891823	0.00565145910398685
mcuenta_debitos_automaticos	0.00153317087896948	0.0126912420578527	0.00780928894369092
Master_fechaalta	0.00147604145718023	0.00543727881107417	0.00565145910398685
Visa_fechaalta	0.00140370965024545	0.00753832289112942	0.00760378133990958
Visa_mpagospesos_ratioavg3	0.00133807041404673	1.9379433393416e-05	0.00010275380189067
mactivos_margen_max3	0.00130223128987131	0.00635309844652821	0.00709001233045623
ccomisiones_mantenimiento_eficiencia3	0.00122850446568263	0.00350689438284884	0.00544595150020551
mcuentas_saldo_ratioavg3	0.00122512428448496	0.0068654926226728	0.00801479654747226
mtransferencias_emitidas_eficiencia3	0.00118324428883758	0.00706107998621485	0.00637073571722154
mpayroll_sobre_edad_tend3	0.00116989295768272	0.00766248696102477	0.00606247431154953
mrentabilidad_annual_max3	0.00115695368182458	0.00372088480822786	0.00431565967940814
Visa_Finiciomora_max3	0.00115190990048593	0.000482175416170864	0.00061652281134402
ccallcenter_transacciones_tend3	0.00114787963837779	0.00806663087267062	0.00554870530209618
Visa_delinquency_avg3	0.00113632542664346	0.00052325331615864	0.00143855322646938
mpayroll_sobre_edad_eficiencia3	0.00112703974797852	0.00694563107051241	0.00472667488697082
kmes_eficiencia3	0.00112611208419482	0.00421593154782688	0.00452116728318948
ctrx_quarter_tend3	0.00112567872840334	0.00316024354260631	0.00318536785861077
Visa_msaldopesos_ratioavg3	0.00105931086651736	0.00396673850858084	0.00554870530209618
ccaja_ahorro_ratioavg3	0.00104853179716089	0.00664336214955145	0.00421290587751747
mtransferencias_recibidas	0.00103051721627329	0.00305930788097131	0.00287710645293876
Visa_Finiciomora_ratioavg3	0.0010013343208398	0.000609302197427545	0.00071927661323469
internet	0.000983585358240073	0.0113692316969024	0.0082203041512536
mcomisiones_mantenimiento_ratioavg3	0.000974502908033283	0.000624497378197029	0.00164406083025072
ccaja_ahorro_eficiencia3	0.00093755208620898	0.00352436311206704	0.00287710645293876
Visa_mpagominimo_min3	0.000922221225737794	0.00425035764738211	0.0051376900945335
ccheques_emitidos_rechazados_avg3	0.000914262423470656	0.00939774473111513	0.00606247431154953
mplazo_fijo_dolares_ratioavg3	0.000899400674706219	0.00922107247745412	0.00575421290587752
ccaja_ahorro_max3	0.000898686795436805	0.000483124738082989	0.00113029182079737
ctrx_quarter_normalizado_avg3	0.00089602625525588	0.000566123212009939	0.00082203041512536
ctrx_quarter_normalizado_ratioavg3	0.000879834591468788	0.000616872824313331	0.0010275380189067
Visa_fultimo_cierre_min3	0.000851512050602678	0.000721978955314005	0.00133579942457871
Visa_Finiciomora_tend3	0.000840909218424752	0.000254210489831324	0.00041101520756268
mactivos_margen_eficiencia3	0.000817651096734964	0.00364573796736432	0.00390464447184546
mcaja_ahorro_ratioavg3	0.000801129199976943	0.00120278827830134	0.00164406083025072
Master_mpagospesos	0.000799233230802077	0.00291069403384372	0.00215782983970407
cprestamos_hipotecarios_eficiencia3	0.000758313932752238	0.00852323438209678	0.00534319769831484
internet_eficiencia3	0.000750404774120798	0.00528202229492262	0.00431565967940814
Visa_mpagominimo_max3	0.000738614913250984	0.000820559058113687	0.00267159884915742
cliente_edad	0.000720054307507042	0.0161786887801798	0.00986436498150432
Visa_mconsumospesos	0.000719947039761224	0.000155508577486837	0.00030826140567201
ctrx_quarter_normalizado_tend3	0.000712316173628113	0.00180278315830331	0.0020550760378134
Visa_fultimo_cierre_eficiencia3	0.000696623223124562	0.00792498170593789	0.00554870530209618
Master_delinquency	0.000685403179462036	0.00154204939692265	0.00164406083025072
internet_ratioavg3	0.000681884063881683	0.00200456954224432	0.00256884504726675
Master_msaldototal	0.000645150318415265	0.00364853993147628	0.0030826140567201
ctarjeta_debito_eficiencia3	0.000636592429203119	0.012145473789339	0.00709001233045623
Visa_Finiciomora_avg3	0.000629078395949449	0.00031522811266047	0.00030826140567201
Visa_cconsumos_ratioavg3	0.000624948848101476	0.00325533768710326	0.00369913686806412
ccuenta_debitos_automaticos_ratioavg3	0.000604713973845653	0.00579020999293935	0.00369913686806412
tcallcenter_ratioavg3	0.00059202114925057	0.00203630049793905	0.0020550760378134
mpayroll_eficiencia3	0.000562532027105669	0.00384490277558575	0.00287710645293876
cmobile_app_trx	0.000548854575231775	0.00302506768311176	0.00369913686806412
Master_mpagominimo	0.000543845462907807	0.00344440694781782	0.00328812166050144
ctarjeta_visa_max3	0.000542904241711184	5.21696324848318e-06	0.00010275380189067
tcuentas_avg3	0.000542345226120951	0.00542051526780631	0.00390464447184546
ccallcenter_transacciones_ratioavg3	0.00052323966200039	0.00331217657061178	0.00246609124537608
ctarjeta_debito_transacciones	0.000517579165914706	4.75487951557592e-06	0.00010275380189067
thomebanking	0.000517254547150354	0.00229518058337552	0.00297986025482943
mtarjeta_visa_consumo_avg3	0.000511704556538788	0.000116373083168262	0.00020550760378134
mpayroll_min3	0.000501637380011988	0.000392283762501227	0.00092478421701603
Visa_mpagominimo_tend3	0.000483232619169838	0.000776173865308279	0.0010275380189067
mpasivos_margen_avg3	0.000476327439140325	5.5231583305573e-05	0.00041101520756268
Master_msaldopesos	0.000472790363918871	0.00267166304632562	0.00267159884915742
mcomisiones_mantenimiento_eficiencia3	0.000470488774062169	0.0016367744946799	0.00267159884915742
mcomisiones_mantenimiento	0.000460569455836479	0.00478983316934076	0.00431565967940814
mttarjeta_visa_debitos_automaticos_tend3	0.000442247060004617	0.00633436251900445	0.00452116728318948
Visa_msaldopesos_min3	0.000441201508603745	0.000629865440414103	0.00133579942457871
mprestamos_hipotecarios_eficiencia3	0.000441157424548807	0.00527893674027212	0.00328812166050144
mpayroll_sobre_edad_max3	0.000434511584922437	0.000746408057658868	0.00133579942457871
mcaja_ahorro_dolares_tend3	0.000434153486148326	0.00179138009646049	0.00164406083025072
Visa_mpagado_eficiencia3	0.000429217755185183	0.00706789529054842	0.00472667488697082
Master_fultimo_cierre_eficiencia3	0.000426809397383356	0.00337162496948891	0.00236333744348541
