Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.0664493807537622	0.0051208818353367	0.00273344945001491
ctrx_quarter	0.061112529138679	0.00433133395399828	0.00274600260477961
mcaja_ahorro	0.0526149915835328	0.00613262652866553	0.00412998791758854
ctrx_quarter_normalizado_min3	0.0399369362511204	0.00258595552769238	0.0020069356180075
ctrx_quarter_min3	0.0240909427849841	0.00185048091074363	0.00186100519386778
mcaja_ahorro_max3	0.0191343456955048	0.00251346715006083	0.00362001600527233
mcuentas_saldo	0.017803656859637	0.00941831351872048	0.00601139198794897
mtarjeta_visa_consumo	0.0169990487109285	0.00413585235495131	0.00228467416717664
Visa_status	0.0166408045128895	0.00250682588906829	0.000699838378132404
mcaja_ahorro_avg3	0.0155028732690432	0.00235301163038428	0.00319477788761788
ctrx_quarter_normalizado_avg3	0.0135773590850154	0.00147408322702381	0.0016836918828163
cpayroll_trx	0.0129983424498128	0.00560925137211801	0.000819093348397119
mcaja_ahorro_min3	0.0127716058757168	0.00319115191943848	0.00314456526855905
mpayroll_sobre_edad	0.0117368147954029	0.007221592748196	0.00182177658522808
ctarjeta_visa_transacciones	0.0114504741331669	0.00368177266264006	0.00238509940529429
foto_mes	0.0112413083065357	0.0178303451432072	0.00840747540366238
cproductos_ratioavg3	0.0106657946819891	0.0112548295344648	0.0023835302609487
mpayroll	0.0103119799408911	0.00660792034371511	0.00167898444977954
mcuenta_corriente	0.0099538616610393	0.00533521868344764	0.00508245853536067
Visa_Finiciomora	0.00855312097669294	0.00622482606764226	0.00115175194966185
ctrx_quarter_avg3	0.00845036639320343	0.00138366067814437	0.00162406439768394
mcuentas_saldo_min3	0.00844367112441198	0.00175611581874482	0.00366709033563998
cdescubierto_preacordado_ratioavg3	0.00843917384891018	0.00249883621581974	0.000695130945095639
cdescubierto_preacordado_tend3	0.00764596287185293	0.00273544732762349	0.000500557046242684
ctarjeta_visa_transacciones_ratioavg3	0.00737513517454475	0.0057047679668121	0.00353528221061055
cdescubierto_preacordado	0.00719948928976201	0.00120104975264132	0.00088499741091183
mcuentas_saldo_avg3	0.0068797820006247	0.00148651938831087	0.00292959249321345
Visa_msaldototal	0.00656911486671886	0.00496729413003219	0.00348193130286055
cdescubierto_preacordado_avg3	0.00643028911101243	0.000387247293131426	0.000520955922735332
ctarjeta_visa_ratioavg3	0.00616450129664101	0.00102242336331264	0.000246355662257371
mcaja_ahorro_ratioavg3	0.00611405170766526	0.00241310934391488	0.00499301730766213
Visa_mpagospesos	0.00567337469192766	0.00163916773214749	0.00246041833388253
mpasivos_margen_max3	0.0056704954788983	0.00222644433653869	0.00338778264212525
cpayroll_trx_ratioavg3	0.00564920519854225	0.00299202944339739	0.000881859122220653
ctarjeta_visa	0.00551676202639972	0.00136713268079745	0.000422099828963266
cdescubierto_preacordado_eficiencia3	0.00542286635960401	0.00214085141287118	0.00108270959845596
mpayroll_ratioavg3	0.00493599653750859	0.00395119886012426	0.00155345290213247
cdescubierto_preacordado_min3	0.00487063765405404	0.000380256579838654	0.000420530684617678
ctrx_quarter_normalizado_max3	0.00472466971223293	0.00106926836823166	0.00181706915219131
mactivos_margen_avg3	0.00463829981129648	0.00506669200206959	0.0051593466082945
cproductos_tend3	0.00463019929578827	0.00562292242876878	0.00120667200175744
mactivos_margen	0.00442354039084284	0.00777185637436275	0.00529900045505186
Visa_msaldopesos	0.00436247711127261	0.00403550746322402	0.00339719750819878
cproductos	0.00433865077698474	0.00518246764596239	0.00350389932369879
Master_status	0.00431922712486328	0.00142490034495794	0.000440929561110327
ctrx_quarter_ratioavg3	0.00418321358524232	0.00246963397408457	0.00402642439077971
mcuenta_corriente_tend3	0.00405470958794272	0.00436922706257132	0.00352743648888261
Visa_delinquency	0.00391167971703902	0.0020932723772633	0.000685716079022109
Visa_mpagominimo	0.00382753399922811	0.00637457937748654	0.00438732759026503
ccomisiones_mantenimiento_ratioavg3	0.00382089331830565	0.00595244054666361	0.00253102982943401
mpayroll_sobre_edad_ratioavg3	0.00377788501216944	0.00407570159904908	0.00161778782030159
mpasivos_margen	0.00348380953917324	0.00187534119493185	0.00303001773133111
mcuenta_corriente_ratioavg3	0.00325325903150182	0.0014154395300874	0.00439831160068415
ctrx_quarter_normalizado_ratioavg3	0.00310209907627878	0.00205931669690858	0.00374397840857381
mpasivos_margen_avg3	0.00308530937269434	0.00145580810947136	0.00263302421189725
internet_avg3	0.00308153568287072	0.00455141240570001	0.0023301793531987
mrentabilidad_annual_max3	0.00303174297948956	0.00303200815993694	0.00478118282100771
mcuentas_saldo_tend3	0.00297137671654492	0.00745962207228661	0.00407977529852971
mactivos_margen_max3	0.00296850465851655	0.00418855270642638	0.00392129171962529
mcuentas_saldo_ratioavg3	0.00294612472256688	0.00501748659748364	0.00558929215898571
mactivos_margen_min3	0.00293366716550888	0.00392047102143937	0.00446735395189003
Visa_status_avg3	0.00282157576987083	0.00054973752609612	0.000309121436080905
mcuenta_corriente_max3	0.00280517352338799	0.00178878777197334	0.00273344945001491
ctrx_quarter_max3	0.00273870858889673	0.00114624104460669	0.00190807952423543
cpayroll_trx_min3	0.00250542272290969	0.00129436507478336	0.000240079084875018
mtarjeta_visa_consumo_ratioavg3	0.0024618169662259	0.00202564575546516	0.00219366379513251
mcomisiones_mantenimiento_ratioavg3	0.00236006933477247	0.00210196810467012	0.00274129517174285
mcuenta_corriente_min3	0.00234873929316605	0.00272576354828191	0.00403897754554441
ccomisiones_mantenimiento_tend3	0.00229414244705761	0.0021156894625577	0.000870875111801535
Visa_status_tend3	0.00227459662910876	0.000927664706524463	0.000236940796183841
mcuentas_saldo_max3	0.00219384811269601	0.00129133191020364	0.00284799698724286
Visa_mpagospesos_ratioavg3	0.00204642141883494	0.00191360099386943	0.00263459335624284
ccomisiones_mantenimiento_eficiencia3	0.00204075323724112	0.00189331495720939	0.00262517849016931
internet_ratioavg3	0.00203735063570712	0.00164885905667459	0.00230664218801488
internet_eficiencia3	0.00203055195357993	0.0021677387238664	0.00365139889218409
ccaja_ahorro	0.00202422193269868	0.0084899170422369	0.00120196456872068
ctarjeta_visa_tend3	0.00199862193412103	0.000403291409535694	8.00263616250059e-05
ctarjeta_visa_min3	0.0019567865924456	0.000565547543935363	0.000153776145867658
mactivos_margen_eficiencia3	0.00194491282415921	0.00156673587275955	0.00450501341618416
mcuenta_corriente_avg3	0.00193306329192618	0.00185240179628914	0.00364512231480174
Visa_mconsumospesos	0.00184331655328584	0.00100688785458261	0.00218111064036781
Visa_mconsumototal	0.00183657016235768	0.000819530329167486	0.00180765428611778
Master_Finiciomora	0.00182391743218689	0.00448116178314675	0.000726513832007406
cproductos_min3	0.00178058048541727	0.00173460830980392	0.00212619058827222
internet_max3	0.0017699005665832	0.00260808832622144	0.00113292221751479
mrentabilidad_annual_avg3	0.00175999964631337	0.00266621637896229	0.00412684962889736
Visa_mpagominimo_avg3	0.00175481223703837	0.00337938819050522	0.00320733104238259
Visa_Finiciomora_max3	0.00175254688496029	0.00196407122022908	0.000353057477757379
mtransferencias_recibidas	0.00171000529628927	0.00267464901394512	0.00222818497073546
mcaja_ahorro_tend3	0.00170328109314473	0.00112198830327814	0.00225172213591928
mcomisiones_mantenimiento_eficiencia3	0.00170047768275774	0.00200127650177741	0.00348036215851496
cliente_edad	0.00167577840483468	0.00741733760922169	0.0057242385727063
Master_fechaalta	0.00165927977047244	0.00170152671234573	0.00362629258265468
mrentabilidad	0.00162456615359944	0.00216413659012828	0.00352586734453702
ctrx_quarter_normalizado_tend3	0.00161090293576254	0.00179875448164242	0.00293900735928698
mcomisiones_mantenimiento	0.00157791959129105	0.00437569009328265	0.00266597624315461
Visa_mfinanciacion_limite	0.00156735955326024	0.00234586515281212	0.00293743821494139
Visa_fechaalta	0.00152243329323334	0.00174980349393008	0.00369533493386057
kmes_eficiencia3	0.00151816853492962	0.0019972932090044	0.00335483061086789
Visa_fultimo_cierre_eficiencia3	0.0015137770516158	0.00296510364347827	0.00364826060349292
mactivos_margen_ratioavg3	0.00151330431141416	0.00276972191216776	0.00458660892215475
ctrx_quarter_tend3	0.00150832549579654	0.00167087621887722	0.00291390104975757
ccaja_ahorro_max3	0.00149098110714277	0.00220051520758648	0.000870875111801535
mtarjeta_visa_consumo_max3	0.00148981883945102	0.000697019971366337	0.0012521771877795
internet	0.00146017822842778	0.00232761987689229	0.00129611322945598
mcomisiones_mantenimiento_max3	0.00144167221856875	0.00250022407780979	0.00231919534277958
mcaja_ahorro_dolares_ratioavg3	0.00144158904984798	0.00332449744623999	0.00304884746347817
cliente_edad_min3	0.0014353559902113	0.00427002310462775	0.00489259206954448
mpagomiscuentas	0.00140857139027113	0.00449589770002535	0.0013871236015001
mttarjeta_visa_debitos_automaticos_ratioavg3	0.00139278918264542	0.00145193293609836	0.00288722559588257
Visa_mpagominimo_max3	0.00137901173589584	0.00290036773202684	0.00305669318520611
mcomisiones_mantenimiento_tend3	0.00137361560017255	0.00359699436467679	0.00123648574432362
mpayroll_min3	0.00137100662309052	0.00194602098876794	0.000925795163897127
Visa_delinquency_avg3	0.00135648224497541	0.00083107646941332	0.00040954667419856
mrentabilidad_annual	0.00135119632624843	0.00149742260527654	0.00357921825228703
mcuenta_corriente_eficiencia3	0.00134279386529863	0.00142719693552784	0.00453011972571357
cproductos_avg3	0.00133244055280384	0.00206724937150845	0.00287153415242668
Visa_msaldopesos_ratioavg3	0.00132706340479028	0.00212153169688123	0.00278523121341932
cliente_edad_max3	0.00130730629352451	0.00387945796452355	0.00443283277628709
ccaja_ahorro_eficiencia3	0.00128628642090203	0.0016107660430739	0.00040954667419856
Visa_cconsumos_ratioavg3	0.00127965721103202	0.00121086731066552	0.0023035038993237
Master_fultimo_cierre_eficiencia3	0.00127754291541895	0.00262306735632491	0.00342858039511055
Visa_mpagominimo_tend3	0.00126571944403108	0.00274355820424545	0.00211363743350751
Visa_Finiciomora_avg3	0.00126448609459578	0.00232116266756006	0.000335796889955907
cliente_edad_avg3	0.00126232104155125	0.00378882963271913	0.0043104395173312
ctarjeta_visa_transacciones_avg3	0.00125036218344327	0.000859658932089085	0.00149853285003688
mcuenta_debitos_automaticos	0.00123750322486021	0.00401634060082392	0.00164917070721336
Visa_status_max3	0.00123747696632712	0.000592924218142869	0.000280876837860315
ctrx_quarter_eficiencia3	0.00122875845581051	0.0012515704215334	0.00361217028354438
mpayroll_sobre_edad_eficiencia3	0.00119876308335425	0.00386331234135376	0.00177470225486042
Visa_mpagospesos_max3	0.00118990704575146	0.00123360872590087	0.00227525930110311
Visa_mpagominimo_min3	0.00117788996944336	0.00300907215238885	0.00311318238164729
ccaja_ahorro_tend3	0.00115200573667355	0.00211035357517865	0.000255770528330901
mactivos_margen_tend3	0.00114985736989264	0.00258032662147935	0.00320262360934582
Visa_msaldototal_min3	0.00114582365675987	0.00134855199736093	0.00201478133973544
mpayroll_sobre_edad_min3	0.00113337425836896	0.00146899864801497	0.000841061369235356
mpayroll_eficiencia3	0.00112785512872531	0.00352621959193232	0.00167113872805159
ccaja_ahorro_ratioavg3	0.00112643524569424	0.0062599228230763	0.000519386778389744
mtarjeta_visa_consumo_avg3	0.0011120987975313	0.000687337604980848	0.00108741703149273
Visa_msaldototal_ratioavg3	0.00111125073944828	0.00192765312477772	0.00247610977733842
ctrx_quarter_normalizado_eficiencia3	0.00110678721834019	0.00121524038150558	0.00350860675673555
numero_de_cliente	0.00110220722975974	0.00326173789299018	0.0044861836840371
Visa_fultimo_cierre_avg3	0.00109698538479991	0.00135297019801851	0.00257496587111048
ccaja_seguridad	0.0010958651644014	0.00608881107115864	0.000632365171272105
mautoservicio	0.00109534369635921	0.00248629529796816	0.00157855921166188
mpayroll_tend3	0.0010797210264676	0.00293700056854479	0.00126943777558098
ctarjeta_master_ratioavg3	0.00107220713674799	0.000223561190650227	0.000117685825919126
mpayroll_max3	0.00106747123505795	0.00193185113035821	0.00124276232170597
mtarjeta_master_consumo	0.00106500493442427	0.00232354496804638	0.00111095419667655
mtransferencias_recibidas_avg3	0.00106069354856473	0.00098020025080117	0.00193475497811044
ccaja_ahorro_avg3	0.00105011067276161	0.00158104911795331	0.000800263616250059
mpayroll_sobre_edad_tend3	0.00104732058071843	0.00284615300247342	0.00129925151814715
Visa_fechaalta_ratioavg3	0.00104553457224601	0.00141326459503687	0.00300177313311052
Master_fultimo_cierre_avg3	0.001043713289079	0.00128824180349348	0.00284956613158845
Visa_msaldototal_avg3	0.00103173826119862	0.00107450314447289	0.00178882455397072
chomebanking_transacciones_eficiencia3	0.00102836586825666	0.00100138125384874	0.00368278177909586
mrentabilidad_min3	0.00102795913865701	0.00197418809887143	0.00259850303629431
Master_Fvencimiento	0.00102658450071752	0.00123663615387886	0.00371259552166204
mrentabilidad_max3	0.00102303759816214	0.00107176655937651	0.00277581634734579
mcuentas_saldo_eficiencia3	0.00101774368890245	0.00121008026586416	0.00370318065558851
mcaja_ahorro_dolares_eficiencia3	0.00100053696429937	0.00270404101568321	0.00282445982205903
ctarjeta_visa_eficiencia3	0.000998474480731064	0.000565942889049402	0.000373456354250027
chomebanking_transacciones_max3	0.000998353610727833	0.00134361936765003	0.00306296976258846
mrentabilidad_annual_min3	0.000995141997660418	0.00159532935649281	0.00265028479969872
mtransferencias_emitidas_eficiencia3	0.000992705644496377	0.00363822210614096	0.00278523121341932
Visa_msaldopesos_min3	0.000984672590272584	0.00138926870086639	0.00192377096769132
cproductos_max3	0.000983984509578795	0.00150255782463165	0.00186571262690455
mcaja_ahorro_eficiencia3	0.000968299705632987	0.00106698754625173	0.00352429820019144
Visa_fechaalta_eficiencia3	0.00096665019722458	0.00142799712082084	0.00339562836385319
Visa_fultimo_cierre_min3	0.000962889116810609	0.000928738214043556	0.00185002118344867
cmobile_app_trx_avg3	0.000962245070360537	0.000961273449640789	0.0025859498815296
cliente_antiguedad	0.000935893241344929	0.00233920699286474	0.0033815060647429
Master_fechaalta_ratioavg3	0.000924380260624263	0.00163736155037738	0.00313044296944876
Visa_Finiciomora_tend3	0.000921704905594425	0.000821722530541438	0.00015220700152207
mrentabilidad_eficiencia3	0.000914244713891325	0.000872580359015758	0.00310219837122817
Master_mfinanciacion_limite	0.000913885303211686	0.00144445438558589	0.00294214564797816
cmobile_app_trx_max3	0.000907851062742755	0.00100895811784597	0.00264243907797078
Visa_Fvencimiento_eficiencia3	0.000907135164280612	0.00153675763553963	0.00335483061086789
Visa_Finiciomora_ratioavg3	0.000903531469045399	0.00142539301448748	0.000287153415242668
cliente_antiguedad_eficiencia3	0.000893473762605445	0.0014552038164107	0.00341916552903702
Visa_fechaalta_min3	0.000893037660228345	0.00134802643421362	0.00263459335624284
Master_msaldototal	0.000885533385752465	0.00209589911915323	0.00180137770873543
Visa_Fvencimiento	0.000884870316036137	0.000976556406599264	0.00299706570007375
Master_mpagominimo	0.000880050361221541	0.00303716479970639	0.00198810588586044
thomebanking_ratioavg3	0.000876601028651721	0.00145232223376034	0.00144675108663246
Visa_cconsumos	0.000875562447510441	0.000748286850628771	0.00162092610899277
Visa_mlimitecompra	0.00086494500796189	0.00105186171001049	0.00259536474760313
mrentabilidad_annual_eficiencia3	0.000860955814305978	0.00137449952300144	0.00350860675673555
mcomisiones	0.000860653603775709	0.00102417944165979	0.00254985956158107
Visa_fechaalta_avg3	0.000856212665427597	0.00149959344275441	0.00258438073718401
mcomisiones_otras_eficiencia3	0.000855315400527512	0.000945634908152653	0.00295783709143404
chomebanking_transacciones_ratioavg3	0.000852961164043504	0.000955230095147377	0.0033140328578826
chomebanking_transacciones_avg3	0.000849890979738041	0.00112154316559148	0.00274129517174285
ctransferencias_recibidas_eficiencia3	0.000849780207155483	0.00100992587973128	0.00339249007516201
thomebanking_eficiencia3	0.000843815275927306	0.00139867124542778	0.00244786517911783
Visa_msaldototal_max3	0.000837783726848425	0.00108699698262755	0.0020477333709928
Master_Fvencimiento_eficiencia3	0.000829377719420483	0.000961892889590735	0.00325126708405906
mttarjeta_visa_debitos_automaticos_eficiencia3	0.000826181259930702	0.00126547735707387	0.00270363570744873
Master_fultimo_cierre_min3	0.000822409463569155	0.000999660075517019	0.00193789326680161
mcomisiones_otras	0.000817984750417484	0.000938247295494143	0.00241962058089724
