num_iterations	learning_rate	feature_fraction	num_leaves	min_data_in_leaf	bagging_fraction	min_gain_to_split	y	dob	eol	error.message	exec.time	ei	error.model	train.time	prop.type	propose.time	se	mean	iter
4980	0.010162678888172	0.520420761406458	9998	51	0.803407818074092	0.216565664549203	0.940133363978006	33			3381.33500000001	-0.000554799197428156		0.199000000000524	infill_ei	1.27799999999843	0.00229786818374795	0.938657938164514	61
3631	0.0100346005903415	0.923692666023357	5245	219	0.851078423552324	0.0992682468055579	0.939504932785421	24			1796.381	-0.000937299076991708		0.174999999995634	infill_ei	1.25999999999476	0.00263673233487443	0.939061998057291	52
4239	0.0100325005724677	0.885716425346892	5209	194	0.908509483770318	1.40996523967314	0.939492053588789	27			1123.815	-0.000833223910279365		0.311999999998079	infill_ei	1.30999999999767	0.00127241148764481	0.94006078286895	55
4381	0.010300316973036	0.661744420634371	2365	242	0.866751152491991	0.0154814584161704	0.939372866729828	26			2255.64200000001	-0.000663966665710553		0.216000000000349	infill_ei	1.26000000000204	0.00207876981334326	0.939150150040898	54
4997	0.0172744797511223	0.747649038045415	5765	201	0.789014665570055	1.66245244031081	0.939299754973696	16			1029.252	-0.00138907906266271		0.137000000002445	infill_ei	1.20700000000215	0.00262899004467972	0.939155197989475	44
4999	0.0131171321028789	0.829503010650312	8243	224	0.911921003509891	0.0613780334512185	0.939284567029263	21			1941.406	-0.000691788686446026		0.134000000005472	infill_ei	1.26800000000367	0.0024216579638372	0.938690249792372	49
3677	0.0100131352289442	0.556585477816585	5862	43	0.815991439305331	0.443559111095511	0.939178952721717	28			2477.853	-0.000650563132434215		0.148999999997613	infill_ei	1.32200000000012	0.00181848777558917	0.939349842121973	56
3701	0.0100421162482312	0.770948240859551	4963	252	0.830381703564763	1.88384172140295	0.938686947239633	32			1019.728	-0.00050273170746549		0.100999999995111	infill_ei	1.30500000000029	0.000904902929177888	0.939759913259664	60
5000	0.0204571916844862	0.970820309604114	5167	392	0.930091734393215	4.37029308880268	0.938533121103406	12			790.835999999999	-0.00148057653736889		0.163000000000466	infill_ei	1.17399999999907	0.00303047697033893	0.938705994982458	40
3107	0.0100022107275302	0.500341959757001	685	321	0.844646049451738	0.0754334844865831	0.93847462544431	29			2209.16	-0.000508129842561846		0.235999999997148	infill_ei	1.29699999999866	0.00235444620296978	0.938460886973952	57
850	0.0121781232650088	0.990281360699732	5116	467	0.798478616230209	15.3257648648365	0.938264277246592	18			220.885999999999	-0.000851317485555041		0.127000000000407	infill_ei	1.66399999999703	0.00205900958985767	0.939358861140262	46
1384	0.0100179138607283	0.709129909583885	6125	168	0.858795264887234	9.03415489275575	0.938196857396793	10			341.955000000002	-0.00116749298958792		0.132999999997992	infill_ei	1.24799999999959	0.00228624227887878	0.938615349422507	38
1985	0.0101952902180242	0.517046784191285	5437	364	0.939806856694321	7.25745766792361	0.938143271275529	1			1190.038	-0.00264024145728202		1.17900000000009	infill_ei	1.22700000000077	0.00330501112569973	0.939955851222514	29
4628	0.0101802577747697	0.567713380437189	8080	334	0.926541254419409	4.81356705055836	0.938022809022585	2			2673.914	-0.00202742449304606		0.157000000002881	infill_ei	1.15400000000227	0.00367121090304226	0.939157780170969	30
2182	0.0100302443260601	0.928461938432363	3935	213	0.895091721296905	8.44495457145852	0.937868615814418	4			474.972999999998	-0.00165531004956464		0.169000000001688	infill_ei	1.13999999999942	0.00247696189309398	0.939274843380479	32
4298	0.0157610074601345	0.962013287093601	2793	281	0.723063372375918	6.6553110927129	0.937836650735011	0			713.239				initdesign				24
